Epoch [15/200], Step [450/600], d_loss: 0.3465, g_loss: 1.4403, D(x): 0.72, D(G(z)): 0.25
Epoch [15/200], Step [500/600], d_loss: 0.3116, g_loss: 1.7575, D(x): 0.73, D(G(z)): 0.22
Epoch [15/200], Step [550/600], d_loss: 0.3849, g_loss: 1.5799, D(x): 0.76, D(G(z)): 0.32
Epoch [15/200], Step [600/600], d_loss: 0.2385, g_loss: 1.8170, D(x): 0.79, D(G(z)): 0.17
Epoch [16/200], Step [50/600], d_loss: 0.4009, g_loss: 1.5070, D(x): 0.70, D(G(z)): 0.29
Epoch [16/200], Step [100/600], d_loss: 0.3705, g_loss: 1.7032, D(x): 0.79, D(G(z)): 0.34
Epoch [16/200], Step [150/600], d_loss: 0.3205, g_loss: 1.4489, D(x): 0.77, D(G(z)): 0.25
Epoch [16/200], Step [200/600], d_loss: 0.3170, g_loss: 1.5368, D(x): 0.76, D(G(z)): 0.23
Epoch [16/200], Step [250/600], d_loss: 0.3667, g_loss: 1.4610, D(x): 0.71, D(G(z)): 0.26
Epoch [16/200], Step [300/600], d_loss: 0.3844, g_loss: 1.7731, D(x): 0.70, D(G(z)): 0.25
Epoch [16/200], Step [350/600], d_loss: 0.3598, g_loss: 1.5698, D(x): 0.68, D(G(z)): 0.21
Epoch [16/200], Step [400/600], d_loss: 0.3682, g_loss: 1.0914, D(x): 0.74, D(G(z)): 0.30
Epoch [16/200], Step [450/600], d_loss: 0.3273, g_loss: 1.5100, D(x): 0.72, D(G(z)): 0.22
Epoch [16/200], Step [500/600], d_loss: 0.4501, g_loss: 1.6874, D(x): 0.67, D(G(z)): 0.31
Epoch [16/200], Step [550/600], d_loss: 0.3658, g_loss: 1.8300, D(x): 0.77, D(G(z)): 0.32
Epoch [16/200], Step [600/600], d_loss: 0.4456, g_loss: 1.5056, D(x): 0.70, D(G(z)): 0.33
Epoch [17/200], Step [50/600], d_loss: 0.3296, g_loss: 1.6169, D(x): 0.76, D(G(z)): 0.26
Epoch [17/200], Step [100/600], d_loss: 0.2652, g_loss: 1.4175, D(x): 0.80, D(G(z)): 0.22
Epoch [17/200], Step [450/600], d_loss: 0.3384, g_loss: 2.1257, D(x): 0.68, D(G(z)): 0.19
Epoch [17/200], Step [500/600], d_loss: 0.2695, g_loss: 1.5804, D(x): 0.78, D(G(z)): 0.21
Epoch [17/200], Step [550/600], d_loss: 0.3916, g_loss: 2.0652, D(x): 0.63, D(G(z)): 0.19
Epoch [17/200], Step [600/600], d_loss: 0.4307, g_loss: 1.6960, D(x): 0.71, D(G(z)): 0.33
Epoch [18/200], Step [50/600], d_loss: 0.3433, g_loss: 1.6100, D(x): 0.77, D(G(z)): 0.29
Epoch [18/200], Step [100/600], d_loss: 0.3669, g_loss: 1.9429, D(x): 0.72, D(G(z)): 0.28
Epoch [18/200], Step [150/600], d_loss: 0.3532, g_loss: 1.7873, D(x): 0.77, D(G(z)): 0.29
Epoch [18/200], Step [200/600], d_loss: 0.4261, g_loss: 1.5741, D(x): 0.69, D(G(z)): 0.31
Epoch [18/200], Step [250/600], d_loss: 0.3325, g_loss: 1.4567, D(x): 0.78, D(G(z)): 0.28
Epoch [18/200], Step [300/600], d_loss: 0.3245, g_loss: 1.4491, D(x): 0.77, D(G(z)): 0.25
Epoch [18/200], Step [350/600], d_loss: 0.2947, g_loss: 1.4242, D(x): 0.80, D(G(z)): 0.26
Epoch [18/200], Step [400/600], d_loss: 0.3280, g_loss: 1.7633, D(x): 0.77, D(G(z)): 0.26
Epoch [18/200], Step [450/600], d_loss: 0.2917, g_loss: 1.8862, D(x): 0.78, D(G(z)): 0.22
Epoch [18/200], Step [500/600], d_loss: 0.3509, g_loss: 1.5821, D(x): 0.74, D(G(z)): 0.27
Epoch [18/200], Step [550/600], d_loss: 0.2947, g_loss: 1.7896, D(x): 0.82, D(G(z)): 0.26
Epoch [18/200], Step [600/600], d_loss: 0.4215, g_loss: 1.5408, D(x): 0.77, D(G(z)): 0.37
Epoch [19/200], Step [50/600], d_loss: 0.3261, g_loss: 2.0244, D(x): 0.76, D(G(z)): 0.24
Epoch [19/200], Step [100/600], d_loss: 0.3448, g_loss: 1.8434, D(x): 0.68, D(G(z)): 0.20
Epoch [19/200], Step [150/600], d_loss: 0.3975, g_loss: 1.5978, D(x): 0.72, D(G(z)): 0.30
Epoch [19/200], Step [200/600], d_loss: 0.3671, g_loss: 1.8767, D(x): 0.71, D(G(z)): 0.26
Epoch [19/200], Step [250/600], d_loss: 0.2398, g_loss: 1.4451, D(x): 0.81, D(G(z)): 0.19
Epoch [19/200], Step [300/600], d_loss: 0.3843, g_loss: 1.7252, D(x): 0.73, D(G(z)): 0.29
Epoch [19/200], Step [350/600], d_loss: 0.3805, g_loss: 1.7306, D(x): 0.77, D(G(z)): 0.34
Epoch [19/200], Step [400/600], d_loss: 0.3363, g_loss: 1.9367, D(x): 0.75, D(G(z)): 0.25
Epoch [19/200], Step [450/600], d_loss: 0.4544, g_loss: 1.8050, D(x): 0.73, D(G(z)): 0.36
Epoch [19/200], Step [500/600], d_loss: 0.2978, g_loss: 1.7279, D(x): 0.70, D(G(z)): 0.15
Epoch [19/200], Step [550/600], d_loss: 0.3808, g_loss: 1.5308, D(x): 0.69, D(G(z)): 0.26
Epoch [19/200], Step [600/600], d_loss: 0.3282, g_loss: 1.8963, D(x): 0.70, D(G(z)): 0.18
Epoch [20/200], Step [50/600], d_loss: 0.2874, g_loss: 1.9673, D(x): 0.77, D(G(z)): 0.19
Epoch [20/200], Step [100/600], d_loss: 0.3743, g_loss: 1.5734, D(x): 0.65, D(G(z)): 0.21
Epoch [20/200], Step [150/600], d_loss: 0.3775, g_loss: 1.7170, D(x): 0.64, D(G(z)): 0.20
Epoch [20/200], Step [200/600], d_loss: 0.2933, g_loss: 1.8814, D(x): 0.73, D(G(z)): 0.17
Epoch [20/200], Step [250/600], d_loss: 0.2814, g_loss: 1.9920, D(x): 0.83, D(G(z)): 0.27
Epoch [20/200], Step [300/600], d_loss: 0.2549, g_loss: 1.7119, D(x): 0.84, D(G(z)): 0.25
Epoch [20/200], Step [350/600], d_loss: 0.2857, g_loss: 1.2703, D(x): 0.76, D(G(z)): 0.19
Epoch [20/200], Step [400/600], d_loss: 0.3196, g_loss: 1.4258, D(x): 0.78, D(G(z)): 0.26
Epoch [20/200], Step [450/600], d_loss: 0.3311, g_loss: 2.1199, D(x): 0.74, D(G(z)): 0.26
Epoch [20/200], Step [500/600], d_loss: 0.4203, g_loss: 1.8775, D(x): 0.72, D(G(z)): 0.34
Epoch [20/200], Step [550/600], d_loss: 0.4752, g_loss: 1.7173, D(x): 0.68, D(G(z)): 0.34
Epoch [20/200], Step [600/600], d_loss: 0.3423, g_loss: 1.8068, D(x): 0.76, D(G(z)): 0.29
Epoch [21/200], Step [50/600], d_loss: 0.3990, g_loss: 1.5357, D(x): 0.75, D(G(z)): 0.32
Epoch [21/200], Step [100/600], d_loss: 0.2560, g_loss: 2.2393, D(x): 0.76, D(G(z)): 0.16
Epoch [21/200], Step [150/600], d_loss: 0.3923, g_loss: 1.5798, D(x): 0.73, D(G(z)): 0.30
Epoch [21/200], Step [200/600], d_loss: 0.2810, g_loss: 1.4562, D(x): 0.76, D(G(z)): 0.21
Epoch [21/200], Step [250/600], d_loss: 0.4679, g_loss: 2.0178, D(x): 0.72, D(G(z)): 0.37
Epoch [21/200], Step [300/600], d_loss: 0.3350, g_loss: 1.5528, D(x): 0.74, D(G(z)): 0.23
Epoch [21/200], Step [350/600], d_loss: 0.2615, g_loss: 1.5782, D(x): 0.77, D(G(z)): 0.17
Epoch [21/200], Step [400/600], d_loss: 0.3793, g_loss: 1.3842, D(x): 0.73, D(G(z)): 0.29
Epoch [21/200], Step [450/600], d_loss: 0.3839, g_loss: 2.6498, D(x): 0.72, D(G(z)): 0.29
Epoch [21/200], Step [500/600], d_loss: 0.2809, g_loss: 1.5652, D(x): 0.78, D(G(z)): 0.23
Epoch [21/200], Step [550/600], d_loss: 0.3285, g_loss: 1.3942, D(x): 0.75, D(G(z)): 0.25
Epoch [21/200], Step [600/600], d_loss: 0.4192, g_loss: 1.6656, D(x): 0.63, D(G(z)): 0.24
Epoch [22/200], Step [50/600], d_loss: 0.2767, g_loss: 2.0069, D(x): 0.77, D(G(z)): 0.19
Epoch [22/200], Step [100/600], d_loss: 0.3888, g_loss: 1.4299, D(x): 0.82, D(G(z)): 0.38
Epoch [22/200], Step [150/600], d_loss: 0.3730, g_loss: 2.2573, D(x): 0.71, D(G(z)): 0.28
Epoch [22/200], Step [200/600], d_loss: 0.2803, g_loss: 1.1253, D(x): 0.82, D(G(z)): 0.26
Epoch [22/200], Step [250/600], d_loss: 0.2879, g_loss: 1.4596, D(x): 0.84, D(G(z)): 0.28
Epoch [22/200], Step [300/600], d_loss: 0.3277, g_loss: 2.0470, D(x): 0.80, D(G(z)): 0.29
